main_topic;cloze_test;translation;hint;extra
Gustar mit Klarstellung (Maria);A María le {{c1::gustan}} las sorpresas.;Maria mag Überraschungen.;Setze das Dativ-Signal vor den Namen María. Das Verb steht im Plural (gustan) passend zu las sorpresas.;
Gustar mit Klarstellung (Höflichkeit);A usted le {{c1::gusta}} la comodidad.;Sie (Sg. höflich) mögen die Bequemlichkeit.;Nutze das betonte Signal für die Höflichkeitsform (a usted) am Satzanfang.;
Gustar mit Klarstellung (Höflichkeit Pl.);A ustedes les {{c1::gusta}} este hotel.;Sie (Pl. höflich) mögen dieses Hotel.;Nutze das betonte Signal für die Höflichkeitsform im Plural (a ustedes) am Satzanfang.;
Negation vor Gustar;No me {{c1::gusta}} perder el tiempo.;Ich mag es nicht Zeit zu verlieren.;Das Verneinungswort no steht starr ganz links vor dem Pronomen me.;Hier greift deine Pareto-Regel 12: Die Verneinung steht starr vor dem gesamten Pronomen-Verb-Paket.
Negation vor Gustar;A él no le {{c1::gusta}} la sopa.;Er mag die Suppe nicht.;Das no steht starr zwischen dem Klarstellungssignal und dem Pronomen-Verb-Paket.;Struktur bei verneinter Klarstellung: a él + no + le + gusta.
Gustar in einer Frage;¿Te {{c1::gusta}} la nueva canción?;Magst du das neue Lied?;Bilde die Frage mit dem Dativpronomen te und der Singularform gusta.;
Gustar in einer Frage;¿A ustedes les {{c1::gustan}} los regalos?;Mögen Sie (Pl. höflich) die Geschenke?;Bilde die Frage mit dem Höflichkeits-Plural-Signal am Anfang und gustan vor dem Subjekt.;
Gustar im Futur (ir a);Me va a {{c1::gustar}} el viaje.;Die Reise wird mir gefallen (Ich werde die Reise mögen).;Nutze die 3. Person von ir (va) + a + Infinitiv von gustar. Die Reise (el viaje) bestimmt das Hilfsverb!;Beim Futur mit gustar richtet sich das Hilfsverb ir ebenfalls nach der Sache am Ende (el viaje -> va a gustar).
Gustar im Futur (ir a);Me van a {{c1::gustar}} las vacaciones.;Der Urlaub wird mir gefallen (Ich werde den Urlaub mögen).;Nutze die 3. Person Plural von ir (van) + a + Infinitiv von gustar passend zum Pluralobjekt las vacaciones.;
Gustar im Gerundium;Está {{c1::gustándome}} mucho este momento.;Dieser Moment gefällt mir gerade sehr.;Nutze die 3. Person von estar (está) und hänge das Pronomen me hinten an das Gerundium an. Denke an den Akzent!;Hier siehst du die Verlaufsform (Satzmuster 13) im Einsatz mit gustar.
Gustar im Indefinido (Vergangenheit);Me {{c1::gustó}} la película ayer.;Der Film hat mir gestern gefallen.;Bilde die 3. Person Singular im Indefinido für ein abgeschlossenes Ereignis (gustó).;Da der Film (la película) eine einmalige abgeschlossene Sache in der Vergangenheit war nutzt man das Indefinido.
Gustar im Imperfekt (Vergangenheit);Me {{c1::gustaba}} jugar en el jardín.;Ich spielte früher gerne im Garten (Das Spielen im Garten gefiel mir früher).;Bilde die 3. Person Singular im Imperfekt für eine dauerhafte Gewohnheit in der Vergangenheit (gustaba).;Gewohnheiten in der Vergangenheit (früher gerne tun) nutzen starr das Imperfekt von gustar (gustaba).
Gustar im Imperfekt (Vergangenheit);Nos {{c1::gustaban}} los días de sol.;Wir mochten die sonnigen Tage früher.;Bilde die 3. Person Plural im Imperfekt von gustar (gustaban) passend zu los días.;
Gustar im Subjunktiv;Espero que te {{c1::guste}} el regalo.;Ich hoffe, dass dir das Geschenk gefällt.;Bilde den Subjunktiv Präsens für die 3. Person Singular von gustar (guste) nach der Hoffnung espero que.;Das Verb gustar auf -ar wechselt im Subjunktiv zur Endung -e (guste / gusten).
Gustar im Subjunktiv;Quiero que les {{c1::gusten}} las ideas.;Ich möchte, dass ihnen die Ideen gefallen.;Bilde die 3. Person Plural im Subjunktiv von gustar (gusten) passend zu las ideas.;
Anderes psychologisches Verb (Encantar);Me {{c1::encanta}} el sol.;Ich liebe die Sonne (Die Sonne verzaubert mich).;Das Verb encantar (überaus gefallen/lieben) funktioniert exakt nach demselben Satzmuster wie gustar.;Encantar bedeutet strukturell 'etwas verzaubert mich' weshalb es die Person nie im Subjekt führt.
Anderes psychologisches Verb (Interesar);Nos {{c1::interesa}} este proyecto.;Dieses Projekt interessiert uns.;Das Verb interesar (interessieren) folgt exakt dem logischen Satzbau von gustar.;Das Projekt ist das Subjekt das Verb steht im Singular (interesa) und die Personen sind das Dativpronomen (nos).
Anderes psychologisches Verb (Importar);No me {{c1::importa}} el precio.;Der Preis ist mir nicht wichtig (Der Preis macht mir nichts aus).;Das Verb importar (wichtig sein/ausmachen) nutzt exakt dieselbe Struktur wie gustar mit starrer Verneinung.;
Gustaría im Singular (mir);Me {{c1::gustaría}} un café, por favor.;Ich hätte gerne einen Kaffee, bitte (Ein Kaffee würde mir gefallen).;Nutze die Konditionalform im Singular (gustaría) passend zu un café.;Die Form gustaría leitet sich vom Konditional ab und ist die Standardform für höfliche Wünsche und Bestellungen im Alltag.
Gustaría im Plural (mir);Me {{c1::gustarían}} zwei Schlüssel, por favor.;Ich hätte gerne zwei Schlüssel, bitte.;Das Nomen steht im Plural weshalb die Konditionalform ein -n am Ende erhalten muss (gustarían).;Die Sache bestimmt auch hier starr die Endung des Verbs.
Gustaría mit Infinitiv (Aktion);Me {{c1::gustaría}} viajar por España.;Ich würde gerne durch Spanien reisen.;Folgt ein Infinitiv nach gustaría bleibt das Verb immer starr in der Singularform (gustaría).;Gerne etwas tun wollen drückt man im Spanischen am elegantesten mit gustaría + Infinitiv aus.
Gustaría im Singular (dir);¿Te {{c1::gustaría}} una solución rápida?;Würde dir eine schnelle Lösung gefallen?;Nutze das Dativpronomen für dir (te) vor der Konditionalform im Singular gustaría.;
Gustaría im Plural (dir);¿Te {{c1::gustarían}} estos regalos?;Würden dir diese Geschenke gefallen?;Passe die Konditionalform an das maskuline Pluralobjekt estos regalos an (gustarían).;
Gustaría mit Infinitiv (uns);Nos {{c1::gustaría}} cantar una canción alegre.;Wir würden gerne ein fröhliches Lied singen.;Nutze das Dativpronomen für uns (nos) vor gustaría + Infinitiv.;
Gustaría im Singular (euch);¿Os {{c1::gustaría}} visitar la ciudad hoy?;Würdet ihr heute gerne die Stadt besuchen?;Nutze das Dativpronomen os vor der Singularform gustaría gefolgt vom Infinitiv.;
Gustaría im Singular (ihnen);A ellos les {{c1::gustaría}} un hotel limpio.;Ihnen würde ein sauberes Hotel gefallen.;Nutze das betonte Signal am Anfang und les vor der Konditionalform gustaría.;
Gustaría im Plural (Höflichkeit);A usted le {{c1::gustarían}} las respuestas claras.;Ihnen (Sg. höflich) würden die klaren Antworten gefallen.;Nutze das Höflichkeitssignal a usted und le vor der Plural-Konditionalform gustarían.;
Gustar Gegenwart (mir);Me {{c1::gusta}} el aire fresco.;Ich mag die frische Luft (Die frische Luft gefällt mir).;Das Nomen aire fresco steht im Singular weshalb das Verb gusta heißen muss.;Das Wort aire ist maskulin laut LONERS-Regel.
Gustar Gegenwart (dir);Te {{c1::gusta}} tu trabajo nuevo.;Du magst deine neue Arbeit.;Nutze das Dativpronomen für dir (te) vor der Singularform gusta.;
Gustar Gegenwart (ihm/ihr);Le {{c1::gusta}} el estilo de la música.;Er/Sie mag den Stil der Musik.;Bilde die Gegenwart für die 3. Person Einzahl mit dem Dativpronomen le.;Hier siehst du auch wieder deine gelernte Genitiv-Besitzanzeige (el estilo de la música).
Gustar Gegenwart (uns);Nos {{c1::gusta}} caminar por el parque.;Wir gehen gerne im Park spazieren.;Nutze das Dativpronomen nos vor gusta + Infinitiv.;
Gustar Gegenwart (euch);Os {{c1::gusta}} crear cosas hermosas.;Ihr erschafft gerne schöne Dinge.;Nutze das Dativpronomen os vor gusta + Infinitiv.;
Gustar Gegenwart (ihnen);Les {{c1::gusta}} la comida del hotel.;Sie mögen das Essen des Hotels.;Nutze das Dativpronomen les vor der Singularform gusta.;Denke an die Genitiv-Verschmelzung del bei del hotel.
Gustar Gegenwart (Höflichkeit);A usted le {{c1::gusta}} el jardín grande.;Sie (Sg. höflich) mögen den großen Garten.;Bilde die Form für usted mit dem vorderen Signal a usted und le vor dem Verb.;
Gustar Gegenwart (Höflichkeit Pl.);A ustedes les {{c1::gusta}} este programa.;Sie (Pl. höflich) mögen dieses Programm.;Bilde die Form für ustedes mit les vor dem Verb im Singular.;Erinnerst du dich an den -matic-Hack? Programa ist maskulin (este programa).
Gustar Gegenwart Plural;Me {{c1::gustan}} tus ideas nuevas.;Ich mag deine neuen Ideen.;Das Subjekt tus ideas steht im Plural weshalb das Verb zu gustan anwachsen muss.;
Gustar Gegenwart Plural;Nos {{c1::gustan}} los días de sol.;Wir mögen die sonnigen Tage.;Das Subjekt los días steht im Plural weshalb das Verb gustan heißen muss.;Achtung: día ist eine maskuline Ausnahme der LONERS-Regel!
Gustar Gegenwart Plural;Les {{c1::gustan}} las sorpresas bonitas.;Sie mögen die schönen Überraschungen.;Das Subjekt las sorpresas steht im Plural weshalb das Verb zu gustan anwächst.;
Verneintes Gustaría;No me {{c1::gustaría}} perder la esperanza.;Ich würde die Hoffnung ungern (nicht gerne) verlieren.;Das Verneinungswort no steht starr ganz links vor dem Pronomen-Verb-Paket.;Hier greift deine Pareto-Regel 12: Die Negation steht starr vor dem gesamten Paket.
Verneintes Gustar;A ella no le {{c1::gusta}} la sopa fría.;Sie mag die kalte Suppe nicht.;Das no steht starr zwischen dem Klarstellungssignal und dem Pronomen le.;
Frage mit Gustaría;¿Te {{c1::gustaría}} tomar un café conmigo?;Würdest du gerne einen Kaffee mit mir trinken?;Bilde die Frage mit te vor der Konditionalform gustaría.;conmigo ist das hochfrequente spanische Spezialwort für mit mir.
Frage mit Gustar;¿A ustedes les {{c1::gustan}} los perros marrones?;Mögen Sie (Pl. höflich) die braunen Hunde?;Bilde die Frage mit dem Höflichkeits-Plural-Signal am Anfang und gustan vor dem Subjekt.;
Gustar im Futur;Te va a {{c1::gusta}} el regalo nuevo.;Das neue Geschenk wird dir gefallen.;Nutze die 3. Person von ir (va) + a + Infinitiv von gustar passend zum Singular-Subjekt el regalo.;
Gustar im Indefinido;Me {{c1::gustó}} mucho el viaje el año pasado.;Die Reise hat mir letztes Jahr sehr gefallen.;Bilde die 3. Person Singular im Indefinido für ein einmaliges abgeschlossenes Ereignis (gustó).;
Gustar im Imperfekt;Me {{c1::gustaba}} celebrar los éxitos antes.;Ich feierte früher gerne die Erfolge.;Bilde die 3. Person Singular im Imperfekt für eine dauerhafte Gewohnheit in der Vergangenheit (gustaba).;
Gustar im Subjunktiv;Espero que nos {{c1::guste}} la ciudad nueva.;Ich hoffe, dass uns die neue Stadt gefällt.;Bilde den Subjunktiv Präsens für die 3. Person Singular von gustar (guste) nach espero que.;
Anderes psychologisches Verb;Me {{c1::encanta}} esta canción hermosa.;Ich liebe dieses wunderschöne Lied (Dieses wunderschöne Lied verzaubert mich).;Das Verb encantar funktioniert exakt nach derselben Dativ-Satzstruktur wie gustar.;Encantar drückt ein extrem starkes Gefallen aus (etwas über alles lieben).
Anderes psychologisches Verb;Nos {{c1::encantan}} los viajes largos.;Wir lieben die langen Reisen.;Das Subjekt los viajes steht im Plural weshalb encantar im Plural stehen muss (encantan).;
Anderes psychologisches Verb;Le {{c1::interesa}} el idioma español.;Ihn/Sie interessiert die spanische Sprache.;Das Verb interesar folgt exakt dem Satzbau von gustar. Das Verb steht im Singular (interesada).;Idioma ist maskulin laut -matic-Hack (el idioma).
Anderes psychologisches Verb;A Carlos le {{c1::importa}} tu opinión.;Carlos ist deine Meinung wichtig (Carlos macht deine Meinung etwas aus).;Das Verb importar folgt exakt dem logischen Satzbau von gustar.;
Gustaría mit Klarstellung;A mí me {{c1::gustaría}} saber la verdad.;Ich würde gerne die Wahrheit wissen.;Nutze das betonte Klarstellungssignal a mí am Satzanfang zur ausdrücklichen Hervorhebung.;
Gustaría mit Klarstellung;A María le {{c1::gustaría}} ver las fotos.;Maria würde gerne die Fotos sehen.;Setze das Dativ-Signal vor den Namen María am Satzanfang. Vor dem Verb steht zwingend le.;
Gustar Gegenwart (mir);Me {{c1::gusta}} tu sonrisa dulce.;Ich mag dein süßes Lächeln.;Das Nomen tu sonrisa steht im Singular weshalb das Verb gusta lauten muss.;Das Wort sonrisa (Lächeln) ist im Spanischen weiblich.
