main_topic;cloze_test;translation;hint;extra
15 Das Imperfekt (Imperfecto);{{c1::Yo leía el libro todos los días}}.;Ich las das Buch jeden Tag.;;Wiederholte Handlung oder Zustand in der Vergangenheit.
16 Das zweite "Sein" (Estar);{{c1::El libro está en la mesa}}.;Das Buch liegt auf dem Tisch.;;Estar wird für Orte und vorübergehende Zustände genutzt.
17 Der Subjunktiv (Subjuntivo);{{c1::Quiero que él lea el libro}}.;Ich möchte, dass er das Buch liest.;;Drückt Wünsche oder Zweifel aus. Das Verb ändert seine Vokale (lee > lea).
18 Imperativ & Höflichkeitsform (Usted);{{c1::Lea el libro, por favor}}.;Lesen Sie das Buch bitte.;;Die Sie-Form nutzt im Imperativ ebenfalls die Formen des Subjunktivs.
19 Das Phänomen "Gustar" (Gefallen statt mögen);{{c1::A Carlos le gusta el libro}}.;Carlos mag das Buch.;;Spanier sagen nicht „ich mag“, sondern „das Buch gefällt mir“. Das Buch ist das Subjekt, Carlos das Objekt.
20 Das "persönliche A" (bei Personen);{{c1::Veo a Carlos}}.;Ich sehe Carlos.;;Wenn das direkte Objekt eine spezifische Person (oder ein Haustier) ist, muss zwingend ein a davor stehen.
21 Reflexive Verben (Sich-Formen);{{c1::Carlos se lava las manos}}.;Carlos wäscht sich die Hände.;;Körperteile gehören einem im Spanischen grammatikalisch selbst (se lava). Man nutzt keinen Besitzartikel ("seine Hände").
22 Das Passiv-Ersatz-"Se";{{c1::Aquí se habla español}}.;Hier spricht man Spanisch.;;Anstatt eines echten Passivs oder dem Wort "man" nutzt das Spanische fast immer das Wörtchen se + 3. Person.
23 Por vs. Para (Grund/Zweck);{{c1::El libro es para Carlos}}.;Das Buch ist für Carlos (Geschenk);;Para = Empfänger/Ziel. Por = Ursache/Grund. Dieser Satz zeigt den Unterschied auf einen Blick.
24 Das Perfekt (Vergangenheit mit Bezug);{{c1::Ya he leído el libro}}.;Ich habe das Buch schon gelesen.;;Für Handlungen, die in einem Zeitraum stattfanden, der noch zur Gegenwart gehört (heute, dieses Jahr). Gebildet mit haber + participle.
25 Doppelte Verneinung;{{c1::No leo nunca un libro}}.;Ich lese nie ein Buch.;;Im Spanischen ist die doppelte Verneinung Pflicht, wenn das verneinende Wort (nunca, nadie, nada) nach dem Verb steht.
26 Das neutrale "Lo";{{c1::Lo bueno del libro es el final}}.;Das Gute an dem Buch ist das Ende.;;Das Wörtchen lo verwandelt jedes Adjektiv sofort in ein abstraktes Substantiv. Man spart sich das Lernen unzähliger Nomen.
27 Relativsatz-Allrounder;{{c1::El libro que Carlos lee es rojo}}.;Das Buch, das Carlos liest, ist rot.;;Zu 90 % reicht das einfache Wörtchen que für alle Relativsätze („der/die/das/welche“), egal ob es sich um eine Sache oder eine Person handelt.
28 Komparativ (Vergleiche);{{c1::Este libro es más rojo que el otro}}.;Dieses Buch ist roter als das andere.;;Keine Wortveränderungen wie im Deutschen (rot -> roter). Man setzt für Vergleiche einfach immer starr das Baukastensystem más... que (mehr... als) ein.
29 Realer Konditionalsatz;{{c1::Si Carlos tiene tiempo, lee el libro}}.;Wenn Carlos Zeit hat, liest er das Buch.;;Für reale Bedingungen im Hier und Jetzt gilt die simpelste Formel: Si (Wenn) + Presente, (dann) + Presente. Kein komplizierter Konjunktiv (Subjuntivo) nötig.
30 Präpositionalpronomen & con-Verschmelzung;{{c1::Este libro es para mí y Carlos viene conmigo}}.;Dieses Buch ist für mich und Carlos kommt mit mir.;;Nach Präpositionen werden „ich/du“ zu mí/ti. Trifft die Präposition con (mit) auf diese Pronomen, verschmelzen sie starr zu den Alltags-Königen conmigo (mit mir) und contigo (mit dir).
