main_topic;cloze_test;translation;hint;extra
Verb ver Präsens (3. Pl. - Wahrnehmung);Los empleados {{c1::ven}} una gran oportunidad aquí.;Die Angestellten sehen hier eine große Gelegenheit.;Bilde die 3. Person Plural von ver (sie sehen) im Präsens.;Oportunidad ist weiblich (una gran oportunidad).
Verb ver Präsens (3. Pl. - Treffen);Esos chicos {{c1::ven}} a sus padres por la tarde.;Diese Jungs sehen (treffen) ihre Eltern nachmittags.;Bilde die 3. Person Plural von ver (sie sehen) im Präsens.;Padres verlangt das persönliche "a".
Verb ver Präsens (3. Pl. - Reflexiv Aussehen);Ellos se {{c1::ven}} felices con el viaje largo.;Sie sehen glücklich aus mit der langen Reise.;Bilde die 3. Person Plural von ver für das reflexive Aussehen (verse).;Felices ist der Plural von feliz (glücklich).
Verb ver Präsens (3. Pl. - Unpersönlich Plural);En este mapa se {{c1::ven}} las calles nuevas.;Auf dieser Karte sieht man die neuen Straßen (wörtlich: werden gesehen).;Bilde die unpersönliche Form im Plural (se ven) im Präsens.;Da "las calles" im Plural steht, wechselt auch das unpersönliche Verb mit se in den Plural.
Verb ver Präsens (3. Pl. - Medien);Ellas {{c1::ven}} una exposición de arte hoy.;Sie schauen sich heute eine Kunstausstellung an.;Bilde die 3. Person Plural von ver für eine weibliche Gruppe im Präsens.;Exposición ist weiblich laut D-IÓ-A-Z-Regel.
Verb ver Indefinido (1. Sg. - Wahrnehmung);Ayer yo {{c1::vi}} un coche nuevo y rojo en la calle.;Gestern habe ich ein neues, rotes Auto auf der Straße gesehen.;Bilde die 1. Person Singular von ver (ich sah) im Indefinido. Ohne Akzent!;Das Signalwort ayer (gestern) verlangt das Indefinido.
Verb ver Indefinido (1. Sg. - Medien);El lunes pasado yo {{c1::vi}} un documental bueno.;Letzten Montag habe ich eine gute Dokumentation geschaut (gesehen).;Bilde die 1. Person Singular von ver (ich sah/schaute) im Indefinido.;"El lunes pasado" grenzt das Ereignis zeitlich genau ab.
Verb ver Indefinido (1. Sg. - Treffen);Yo {{c1::vi}} al director en su nuevo despacho ayer.;Ich habe den Leiter gestern in seinem neuen Büro getroffen (gesehen).;Bilde die 1. Person Singular von ver (ich sah) im Indefinido.;Bei Personen folgt nach ver das persönliche "a" (ver a + el = al).
Verb ver Indefinido (1. Sg. - Verstehen);Anoche yo {{c1::vi}} que la situación era muy grave.;Gestern Abend habe ich erkannt (gesehen), dass die Situation sehr ernst war.;Bilde die 1. Person Singular von ver im Indefinido.;Anoche bedeutet gestern Abend oder letzte Nacht.
Verb ver Indefinido (1. Sg. - Reflexiv Aussehen);Yo me {{c1::vi}} muy elegante con ese traje nuevo.;Ich sah mit diesem neuen Anzug (punktuell) sehr elegant aus.;Bilde die 1. Person Singular von ver für das reflexive Aussehen (verse) im Indefinido.;"Verse + Adjektiv" drückt aus, wie man in diesem konkreten Moment wirkte.
Verb ver Indefinido (2. Sg. - Frage);¿Tú {{c1::viste}} los resultados del examen ayer?;Hast du gestern die Prüfungsergebnisse gesehen?;Bilde die 2. Person Singular von ver (du sahst) im Indefinido.;Die Endung für die 2. Person Singular bei diesen kurzen Formen lautet -iste.
Verb ver Indefinido (2. Sg. - Wahrnehmung);Tú {{c1::viste}} el hospital desde la ventana, ¿no?;Du hast das Krankenhaus vom Fenster aus gesehen, oder?;Bilde die 2. Person Singular von ver (du sahst) im Indefinido.;Desde bedeutet von... aus.
Verb ver Indefinido (2. Sg. - Reflexiv Aussehen);Tú te {{c1::viste}} muy cansado el domingo pasado.;Du sahst letzten Sonntag sehr müde aus.;Bilde die 2. Person Singular von ver für das reflexive Aussehen (verse) im Indefinido.;Der konkrete Tag (el domingo pasado) fordert das Indefinido.
Verb ver Indefinido (2. Sg. - Medien);Tú {{c1::viste}} el partido de fútbol en mi casa.;Du hast dir das Fußballspiel in meinem Haus angeschaut.;Bilde die 2. Person Singular von ver (du sahst) im Indefinido.;Partido steht für das Spiel oder Match.
Verb ver Indefinido (2. Sg. - Reflexiv Treffen);¿Tú te {{c1::viste}} con tu hermano en el centro?;Hast du dich gestern mit deinem Bruder im Zentrum getroffen (gesehen)?;Bilde die 2. Person Singular von ver für das reziproke Treffen im Indefinido.;Achte auf das Pronomen te vor dem Verb.
Verb ver Indefinido (3. Sg. - Wahrnehmung);El director {{c1::vio}} un gran error en el contrato.;Der Leiter hat einen großen Fehler im Vertrag gesehen.;Bilde die 3. Person Singular von ver (er/sie/es sah) im Indefinido. Ohne Akzent!;Die Form vio ist einsilbig und trägt im Spanischen keinen Akzent.
Verb ver Indefinido (3. Sg. - Treffen);Ella {{c1::vio}} a su madre el martes por la tarde.;Sie hat ihre Mutter am Dienstagnachmittag gesehen (getroffen).;Bilde die 3. Person Singular von ver (er/sie/es sah) im Indefinido.;Das persönliche "a" steht vor dem weiblichen Nomen (a su madre).
Verb ver Indefinido (3. Sg. - Reflexiv Aussehen);Él se {{c1::vio}} muy feliz durante la fiesta.;Er sah während des Festes sehr glücklich aus.;Bilde die 3. Person Singular von ver für das reflexive Aussehen (verse) im Indefinido.;Der definierte Zeitraum (durante la fiesta) erzwingt das Indefinido.
Verb ver Indefinido (3. Sg. - Unpersönlich);Ayer no se {{c1::vio}} nada por la niebla alta.;Gestern sah man wegen des starken Nebels nichts.;Bilde die unpersönliche Form mit se (man sah) im Indefinido.;"No se vio nada" bedeutet man hat nichts gesehen.
Verb ver Indefinido (3. Sg. - Medien);El niño {{c1::vio}} una película de dibujos animados.;Das Kind hat sich einen Zeichentrickfilm angeschaut.;Bilde die 3. Person Singular von ver (er/sie/es sah) im Indefinido.;Película (Film) ist ein weibliches Substantiv.
Verb ver Indefinido (1. Pl. - Wahrnehmung);El sábado nosotros {{c1::vimos}} las estrellas.;Am Samstag haben wir die Sterne gesehen.;Bilde die 1. Person Plural von ver (wir sahen) im Indefinido.;Die unregelmäßigen Indefinido-Formen von ver tragen niemals einen Akzent.
Verb ver Indefinido (1. Pl. - Medien);Nosotros {{c1::vimos}} una serie nueva en el hotel.;Wir haben im Hotel eine neue Serie geschaut.;Bilde die 1. Person Plural von ver (wir sahen) im Indefinido.;Hotel ist im Spanischen maskulin (el hotel).
Verb ver Indefinido (1. Pl. - Reflexiv Treffen);Ayer nosotros nos {{c1::vimos}} en la oficina.;Gestern haben wir uns im Büro gesehen (getroffen).;Bilde die 1. Person Plural von ver für das reziproke "uns sehen" (verse) im Indefinido.;Das Reflexivpronomen lautet nos für die wir-Form.
Verb ver Indefinido (1. Pl. - Treffen);Nosotras {{c1::vimos}} a nuestras amigas en la playa.;Wir haben unsere Freundinnen am Strand getroffen (gesehen).;Bilde die 1. Person Plural von ver für eine rein weibliche Gruppe im Indefinido.;Nuestras amigas fordert das persönliche "a" nach dem Verb.
Verb ver Indefinido (1. Pl. - Verstehen);La semana pasada {{c1::vimos}} que era necesario.;Letzte Woche haben wir eingesehen (gesehen), dass es notwendig war.;Bilde die 1. Person Plural von ver (wir sahen/erkannten) im Indefinido.;"La semana pasada" grenzt das Ereignis zeitlich klar ab.
Verb ver Indefinido (2. Pl. - Frage);¿Vosotros {{c1::visteis}} el problema real ayer?;Habt ihr das wirkliche Problem gestern gesehen?;Bilde die 2. Person Plural von ver (ihr saht) im Indefinido. Ohne Akzent!;Die Endung für vosotros im unregelmäßigen Indefinido lautet -isteis.
Verb ver Indefinido (2. Pl. - Reflexiv Aussehen);Vosotros os {{c1::visteis}} muy jóvenes en esa foto.;Ihr saht auf diesem Foto sehr jung aus.;Bilde die 2. Person Plural von ver für das reflexive Aussehen mit os im Indefinido.;Foto ist maskulin im Spanischen (ese foto / el foto ist falsch, es heißt: ese foto wegen la foto? Achtung: en esa foto!).
Verb ver Indefinido (2. Pl. - Medien);Vosotras {{c1::visteis}} una exposición de arte.;Ihr habt euch eine Kunstausstellung angeschaut.;Bilde die 2. Person Plural von ver für eine rein weibliche Gruppe im Indefinido.;Exposición ist weiblich laut D-IÓ-A-Z-Regel.
Verb ver Indefinido (2. Pl. - Treffen);¿Vosotros {{c1::visteis}} al jefe el lunes pasado?;Habt ihr den Chef letzten Montag gesehen (getroffen)?;Bilde die 2. Person Plural von ver (ihr saht) im Indefinido.;Verschmelzung von a + el = al vor jefe.
Verb ver Indefinido (2. Pl. - Reflexiv Treffen);Vosotros os {{c1::visteis}} en el centro comercial.;Ihr habt euch im Einkaufszentrum gesehen (getroffen).;Bilde die 2. Person Plural von ver für das reziproke "euch sehen" im Indefinido.;Das Pronomen lautet os für die ihr-Form.
Verb ver Indefinido (3. Pl. - Wahrnehmung);Los empleados {{c1::vieron}} una gran oportunidad.;Die Angestellten haben eine große Gelegenheit gesehen.;Bilde die 3. Person Plural von ver (sie sahen) im Indefinido.;Die Endung für die 3. Person Plural lautet -ieron (vieron).
Verb ver Indefinido (3. Pl. - Treffen);Esos chicos {{c1::vieron}} a sus padres ayer.;Diese Jungs haben gestern ihre Eltern gesehen (getroffen).;Bilde die 3. Person Plural von ver (sie sahen) im Indefinido.;Padres verlangt das persönliche "a".
Verb ver Indefinido (3. Pl. - Reflexiv Aussehen);Ellos se {{c1::vieron}} felices con el viaje largo.;Sie sahen glücklich aus mit der langen Reise (in dem Moment).;Bilde die 3. Person Plural von ver für das reflexive Aussehen (verse) im Indefinido.;Felices ist der Plural von feliz.
Verb ver Indefinido (3. Pl. - Unpersönlich Plural);En ese mapa se {{c1::vieron}} las calles nuevas.;Auf dieser Karte sah man die neuen Straßen (wurden gesehen).;Bilde die unpersönliche Form im Plural (se vieron) im Indefinido.;Da "las calles" im Plural steht, wechselt auch das unpersönliche Verb mit se in den Plural.
Verb ver Indefinido (3. Pl. - Medien);Ellas {{c1::vieron}} la televisión toda la noche.;Sie haben die ganze Nacht ferngesehen (Fernsehen geschaut).;Bilde die 3. Person Plural von ver für eine weibliche Gruppe im Indefinido.;"Toda la noche" grenzt den Zeitraum präzise ab.
Verb ver Imperfekt (1. Sg. - Medien);Yo {{c1::veía}} la televisión cuando sonó el teléfono.;Ich sah gerade fern, als das Telefon klingelte.;Bilde die unregelmäßige 1. Person Singular von ver (ich sah/schaute) im Imperfekt.;Die andauernde Hintergrundhandlung steht im Imperfekt, die Unterbrechung im Indefinido (sonó).
Verb ver Imperfekt (1. Sg. - Gewohnheit);Antes yo siempre {{c1::veía}} un coche rojo en la calle.;Früher sah ich immer ein rotes Auto auf der Straße.;Bilde die 1. Person Singular von ver (ich sah) im Imperfekt für eine Gewohnheit.;Das Signalwort antes (früher) deutet auf eine regelmäßige Gewohnheit im Imperfekt hin.
Verb ver Imperfekt (1. Sg. - Treffen);De niño yo {{c1::veía}} al director en el colegio cada día.;Als Kind sah (traf) ich den Leiter jeden Tag in der Schule.;Bilde die 1. Person Singular von ver (ich sah/traf) im Imperfekt.;Lebensabschnitte wie die Kindheit erfordern für wiederkehrende Ereignisse das Imperfekt.
Verb ver Imperfekt (1. Sg. - Verstehen);En esa época yo {{c1::veía}} que todo era más fácil.;In jener Epoche sah (erkannte) ich, dass alles einfacher war.;Bilde die 1. Person Singular von ver (ich sah) im Imperfekt.;"En esa época" beschreibt eine dauerhafte Sichtweise in der Vergangenheit.
Verb ver Imperfekt (1. Sg. - Reflexiv Aussehen);Yo me {{c1::veía}} muy elegante con ese traje viejo.;Ich sah mit diesem alten Anzug (damals) sehr elegant aus.;Bilde die 1. Person Singular von ver für das reflexive Aussehen (verse) im Imperfekt.;"Verse + Adjektiv" beschreibt das dauerhafte Aussehen in einer früheren Lebensphase.
Verb ver Imperfekt (2. Sg. - Frage);¿Tú qué {{c1::veías}} en la televisión ayer a las cinco?;Was hast du gestern um fünf Uhr im Fernsehen geschaut? (andauernd);Bilde die 2. Person Singular von ver (du sahst/schautest) im Imperfekt.;Fragt nach einer andauernden Beschäftigung zu einem präzisen Zeitpunkt.
Verb ver Imperfekt (2. Sg. - Wahrnehmung);Tú {{c1::veías}} el hospital desde la ventana antes, ¿no?;Du konntest das Krankenhaus früher vom Fenster aus sehen, oder?;Bilde die 2. Person Singular von ver (du sahst) im Imperfekt.;Beschreibt den früheren Zustand des Ausblicks.
Verb ver Imperfekt (2. Sg. - Reflexiv Aussehen);De joven tú te {{c1::veías}} muy fuerte y sano.;Als Jugendlicher sahst du sehr stark und gesund aus.;Bilde die 2. Person Singular von ver für das reflexive Aussehen (verse) im Imperfekt.;"De joven" (als Jugendlicher) leitet eine Beschreibung der Vergangenheit ein.
Verb ver Imperfekt (2. Sg. - Medien);Tú siempre {{c1::veías}} los partidos de fútbol.;Du hast dir damals immer die Fußballspiele angeschaut.;Bilde die 2. Person Singular von ver (du sahst/schautest) im Imperfekt.;Siempre (immer) fordert das Imperfekt für Gewohnheiten.
Verb ver Imperfekt (2. Sg. - Reflexiv Treffen);Tú te {{c1::veías}} con tu hermano cada sábado.;Du hast dich (damals) jeden Samstag mit deinem Bruder getroffen.;Bilde die 2. Person Singular von ver für das reziproke Treffen im Imperfekt.;"Cada sábado" verlangt für die regelmäßige Wiederholung das Imperfekt.
Verb ver Imperfekt (3. Sg. - Wahrnehmung);El antiguo director {{c1::veía}} un error en cada plan.;Der frühere Leiter sah in jedem Plan einen Fehler.;Bilde die 3. Person Singular von ver (er/sie/es sah) im Imperfekt.;Jede Form trägt einen geschriebenen Akzent auf dem i (veía).
Verb ver Imperfekt (3. Sg. - Treffen);Ella {{c1::veía}} a su madre todas las tardes.;Sie sah (traf) ihre Mutter jeden Nachmittag.;Bilde die 3. Person Singular von ver (er/sie/es sah) im Imperfekt.;Das persönliche "a" steht vor Personen nach dem Verb ver.
Verb ver Imperfekt (3. Sg. - Reflexiv Aussehen);Él se {{c1::veía}} muy feliz durante las vacaciones.;Er sah während des Urlaubs immer sehr glücklich aus.;Bilde die 3. Person Singular von ver für das reflexive Aussehen (verse) im Imperfekt.;Beschreibt den andauernden Gefühlszustand im Urlaub.
Verb ver Imperfekt (3. Sg. - Unpersönlich);Antes no se {{c1::veía}} nada desde este lugar.;Früher sah man von diesem Ort aus nichts (war nichts zu sehen).;Bilde die unpersönliche Form mit se (man sah) im Imperfekt.;"Se veía" beschreibt die andauernde Sichtbarkeit in der Vergangenheit.
Verb ver Imperfekt (3. Sg. - Medien);El niño {{c1::veía}} una película cuando entré.;Das Kind schaut gerade einen Film, als ich reinkam.;Bilde die 3. Person Singular von ver (er/sie/es sah/schaute) im Imperfekt.;Das Hereinkommen (entré) unterbricht das andauernde Filmschauen.
Verb ver Imperfekt (1. Pl. - Wahrnehmung);Antes nosotros {{c1::veíamos}} las estrellas cada noche.;Früher sahen wir jede Nacht die Sterne.;Bilde die 1. Person Plural von ver (wir sahen) im Imperfekt. Denke an den Akzent!;Jede Form im Imperfekt von ver hat einen Akzent auf dem i (veíamos).
Verb ver Imperfekt (1. Pl. - Medien);Nosotros {{c1::veíamos}} una serie cuando se fue la luz.;Wir schauten gerade eine Serie, als der Strom ausging.;Bilde die 1. Person Plural von ver (wir schauten) im Imperfekt mit Akzent.;"Se fue la luz" (der Strom ging aus/das Licht ging) steht im Indefinido.
Verb ver Imperfekt (1. Pl. - Reflexiv Treffen);Nosotros nos {{c1::veíamos}} en la oficina antes de la crisis.;Wir trafen (sahen) uns vor der Krise immer im Büro.;Bilde die 1. Person Plural von ver für das reziproke Treffen (verse) im Imperfekt mit Akzent.;Das Reflexivpronomen lautet nos für die wir-Form.
Verb ver Imperfekt (1. Pl. - Treffen);Nosotras siempre {{c1::veíamos}} a nuestras amigas.;Wir trafen (sahen) früher immer unsere Freundinnen.;Bilde die 1. Person Plural von ver für eine rein weibliche Gruppe mit Akzent.;Nuestras amigas fordert das persönliche "a" nach dem Verb.
Verb ver Imperfekt (1. Pl. - Verstehen);Nosotros {{c1::veíamos}} que los cambios eran difíciles.;Wir sahen (erkannten damals), dass die Veränderungen schwierig waren.;Bilde die 1. Person Plural von ver (wir sahen/erkannten) im Imperfekt mit Akzent.;Cambio (Veränderung) ist ein maskulines Substantiv.
Verb ver Imperfekt (2. Pl. - Frage);¿Vosotros qué {{c1::veíais}} en el centro comercial?;Was habt ihr (damals) im Einkaufszentrum angeschaut?;Bilde die 2. Person Plural von ver (ihr saht) im Imperfekt. Achte auf den Akzent!;Die Endung für vosotros lautet -íais (veíais).
Verb ver Imperfekt (2. Pl. - Reflexiv Aussehen);Vosotros os {{c1::veíais}} muy jóvenes en esa foto vieja.;Ihr saht auf diesem alten Foto sehr jung aus.;Bilde die 2. Person Plural von ver für das reflexive Aussehen mit os im Imperfekt mit Akzent.;Foto ist weiblich (la foto), daher heißt es "esa foto".
Verb ver Imperfekt (2. Pl. - Medien);Vosotras {{c1::veíais}} documentales de arte los sábados.;Ihr schautet samstags immer Kunstdokumentationen.;Bilde die 2. Person Plural von ver für eine rein weibliche Gruppe im Imperfekt mit Akzent.;"Los sábados" (samstags) verlangt das Imperfekt.
Verb ver Imperfekt (2. Pl. - Treffen);¿Vosotros {{c1::veíais}} al jefe cada lunes por la mañana?;Habt ihr den Chef jeden Montagmorgen gesehen (getroffen)?;Bilde die 2. Person Plural von ver (ihr saht) im Imperfekt mit Akzent.;Verschmelzung von a + el = al vor jefe.
Verb ver Imperfekt (2. Pl. - Reflexiv Treffen);Vosotros os {{c1::veíais}} a menudo en el parque.;Ihr habt euch oft im Park gesehen (getroffen).;Bilde die 2. Person Plural von ver für das reziproke "euch sehen" im Imperfekt mit Akzent.;"A menudo" bedeutet oft oder häufig.
Verb ver Imperfekt (3. Pl. - Wahrnehmung);Los empleados {{c1::veían}} una gran oportunidad ahí.;Die Angestellten sahen (damals) dort eine große Gelegenheit.;Bilde die 3. Person Plural von ver (sie sahen) im Imperfekt.;Dient als andauernde Hintergrundbeschreibung in einer Erzählung.
Verb ver Imperfekt (3. Pl. - Treffen);Esos chicos {{c1::veían}} a sus padres los fines de semana.;Diese Jungs sahen ihre Eltern immer an den Wochenenden.;Bilde die 3. Person Plural von ver (sie sahen) im Imperfekt.;"Los fines de semana" (an den Wochenenden) drückt eine Gewohnheit aus.
Verb ver Imperfekt (3. Pl. - Reflexiv Aussehen);Ellos se {{c1::veían}} felices con el viaje largo.;Sie sahen mit der langen Reise (damals dauerhaft) glücklich aus.;Bilde die 3. Person Plural von ver für das reflexive Aussehen (verse) im Imperfekt.;Felices ist der Plural von feliz (glücklich).
Verb ver Imperfekt (3. Pl. - Unpersönlich Plural);En ese mapa viejo se {{c1::veían}} las calles.;Auf dieser alten Karte sah man die Straßen (wurden gesehen).;Bilde die unpersönliche Form im Plural (se veían) im Imperfekt.;Da "las calles" im Plural steht, wechselt auch das unpersönliche Verb mit se in den Plural.
Verb ver Imperfekt (3. Pl. - Medien);Ellas {{c1::veían}} la televisión todas las noches.;Sie sahen damals jede Nacht fern.;Bilde die 3. Person Plural von ver für eine weibliche Gruppe im Imperfekt.;"Todas las noches" (jede Nacht) ist ein klarer Auslöser für das Imperfekt.
Verb ver Futuro (1. Sg. - Wahrnehmung);El próximo año yo {{c1::veré}} un coche nuevo en la calle.;Nächstes Jahr werde ich ein neues Auto auf der Straße sehen.;Bilde die 1. Person Singular von ver (ich werde sehen) im Futuro Simple. Denke an den Akzent!;El próximo año ist ein klassischer Auslöser für die Zukunft.
Verb ver Futuro (1. Sg. - Medien);Mañana por la mañana yo {{c1::veré}} un documental bueno.;Morgen Morgen werde ich eine gute Dokumentation schauen.;Bilde die 1. Person Singular von ver (ich werde sehen/schauen) im Futuro Simple. Denke an den Akzent!;"Ver la televisión/un documental" ist der Standardausdruck.
Verb ver Futuro (1. Sg. - Treffen);Pronto yo {{c1::veré}} al director en su despacho.;Bald werde ich den Leiter in seinem Büro treffen (sehen).;Bilde die 1. Person Singular von ver (ich werde treffen) im Futuro Simple.;Bei Personen folgt nach ver das persönliche "a" (ver a + el = al).
Verb ver Futuro (1. Sg. - Verstehen);Con los nuevos datos, yo {{c1::veré}} que es necesario.;Mit den neuen Daten werde ich einsehen (sehen), dass es notwendig ist.;Bilde die 1. Person Singular von ver (ich werde einsehen) im Futuro Simple.;"Que" leitet oft logische Schlussfolgerungen ein.
Verb ver Futuro (1. Sg. - Reflexiv Aussehen);Con este traje nuevo, yo me {{c1::veré}} muy elegante.;Mit diesem neuen Anzug werde ich sehr elegant aussehen.;Bilde die 1. Person Singular von ver für das reflexive Aussehen (verse) im Futuro Simple.;"Verse + Adjektiv" drückt aus, wie man zukünftig wirken wird.
Verb ver Futuro (2. Sg. - Frage);¿Tú {{c1::verás}} los resultados del examen mañana?;Wirst du morgen die Prüfungsergebnisse sehen?;Bilde die 2. Person Singular von ver (du wirst sehen) im Futuro Simple. Denke an den Akzent!;Die Form verás hat einen obligatorischen Akzent auf dem a.
