main_topic;cloze_test;translation;hint;extra
Verb poder Präsens (3. Sg. - Möglichkeit);El tren {{c1::puede}} ir hacia el norte hoy.;Der Zug kann heute in Richtung Norden fahren.;Bilde die 3. Person Singular von poder (er/sie/es kann) im Präsens.;Hacia bedeutet in Richtung oder gegen.
Verb poder Präsens (1. Pl. - Möglichkeit);Nosotros {{c1::podemos}} ir a la playa este verano.;Wir können diesen Sommer an den Strand gehen.;Bilde die 1. Person Plural von poder (wir können) im Präsens. Kein Stammwechsel!;Die Formen von nosotros und vosotros haben NIEMALS einen Stammwechsel (podemos).
Verb poder Präsens (1. Pl. - Vorschlag);Nosotros {{c1::podemos}} hacer una fiesta grande.;Wir können ein großes Fest machen.;Bilde die 1. Person Plural von poder (wir können) im Präsens.;Wird oft als sanfter Vorschlag genutzt.
Verb poder Präsens (1. Pl. - Fähigkeit);Nosotras {{c1::podemos}} buscar una solución juntas.;Wir können zusammen eine Lösung suchen.;Bilde die 1. Person Plural von poder für eine rein weibliche Gruppe.;Juntas passt sich an das weibliche Pronomen nosotras an.
Verb poder Präsens (1. Pl. - Erlaubnis);Nosotros no {{c1::podemos}} hacer fotos aquí.;Wir dürfen (können) hier keine Fotos machen.;Bilde die verneinte 1. Person Plural von poder im Präsens.;"No podemos" drückt im Kontext oft ein Verbot oder eine Unmöglichkeit aus.
Verb poder Präsens (1. Pl. - Übereinstimmung);Nosotros {{c1::podemos}} estar de acuerdo con eso.;Wir können damit einverstanden sein.;Bilde die 1. Person Plural von poder (wir können) im Präsens.;"Estar de acuerdo" bedeutet zustimmen oder einverstanden sein.
Verb poder Präsens (2. Pl. - Frage);¿Vosotros {{c1::podéis}} hacer el proyecto juntos?;Könnt ihr das Projekt zusammen machen?;Bilde die 2. Person Plural von poder (ihr könnt) im Präsens. Achte auf den Akzent!;Die Form podéis hat im Präsens keinen Stammwechsel, trägt aber einen Akzent auf dem e.
Verb poder Präsens (2. Pl. - Erlaubnis);Vosotros {{c1::podéis}} ir al concierto de música.;Ihr könnt (dürft) zum Musikkonzert gehen.;Bilde die 2. Person Plural von poder (ihr könnt) im Präsens mit Akzent.;Música hat einen Akzent auf dem u (la música).
Verb poder Präsens (2. Pl. - Fähigkeit);Vosotras {{c1::podéis}} hablar en público bien.;Ihr könnt gut in der Öffentlichkeit sprechen.;Bilde die 2. Person Plural von poder für eine rein weibliche Gruppe.;Público trägt einen Akzent auf dem u.
Verb poder Präsens (2. Pl. - Möglichkeit);Vosotros {{c1::podéis}} hacer un viaje largo.;Ihr könnt eine lange Reise machen.;Bilde die 2. Person Plural von poder (ihr könnt) im Präsens mit Akzent.;Viaje ist im Spanischen maskulin (un viaje largo).
Verb poder Präsens (2. Pl. - Hilfe);¿Vosotros me {{c1::podéis}} hacer un favor hoy?;Könnt ihr mir heute einen Gefallen tun?;Bilde die 2. Person Plural von poder (ihr könnt) im Präsens mit Akzent.;Das Pronomen me bezieht sich auf "mir".
Verb poder Präsens (3. Pl. - Möglichkeit);Los empleados {{c1::pueden}} hacer una reunión.;Die Angestellten können eine Besprechung machen.;Bilde die 3. Person Plural von poder (sie können) im Präsens mit Stammwechsel.;In der 3. Person Plural kehrt der Stammwechsel wieder zurück (pueden).
Verb poder Präsens (3. Pl. - Erlaubnis);Esos chicos no {{c1::pueden}} entrar al estadio.;Diese Jungs dürfen das Stadion nicht betreten.;Bilde die verneinte 3. Person Plural von poder im Präsens.;Estadio ist ein maskulines Substantiv (el estadio).
Verb poder Präsens (3. Pl. - Unpersönlich Plural);Aquí se {{c1::pueden}} buscar los documentos.;Hier kann man die Dokumente suchen (wörtlich: werden die Dok. gesucht).;Bilde die unpersönliche Form im Plural (se pueden) im Präsens.;Wenn das folgende Objekt im Plural steht (los documentos), wechselt auch se puede zu se pueden.
Verb poder Präsens (3. Pl. - Fähigkeit);Las nuevas empresas {{c1::pueden}} hacer cambios.;Die neuen Unternehmen können Veränderungen vornehmen.;Bilde die 3. Person Plural von poder für ein weibliches Plural-Subjekt.;Cambio bedeutet Veränderung oder Wechsel.
Verb poder Präsens (3. Pl. - Erreichbarkeit);Ellas {{c1::pueden}} estar en el hotel a las diez.;Sie können um zehn Uhr im Hotel sein.;Bilde die 3. Person Plural von poder für eine weibliche Gruppe im Präsens.;Hotel ist im Spanischen maskulin (el hotel).
Verb poder Indefinido (1. Sg. - Gelingen);Ayer yo {{c1::pude}} terminar todo el trabajo.;Gestern habe ich es geschafft, die gesamte Arbeit zu beenden.;Bilde die 1. Person Singular von poder (ich konnte/schaffte) im Indefinido. Ohne Akzent!;Das Signalwort ayer (gestern) verlangt das Indefinido.
Verb poder Indefinido (1. Sg. - Möglichkeit);El lunes pasado yo no {{c1::pude}} ir a la oficina.;Letzten Montag konnte ich nicht ins Büro gehen.;Bilde die verneinte 1. Person Singular von poder im Indefinido.;"El lunes pasado" grenzt das Ereignis zeitlich genau ab.
Verb poder Indefinido (1. Sg. - Gelingen);Por fin yo {{c1::pude}} hablar con el director.;Endlich konnte (schaffte) ich mit dem Leiter sprechen.;Bilde die 1. Person Singular von poder im Indefinido.;"Por fin" (endlich) deutet auf ein punktuelles Gelingen hin.
Verb poder Indefinido (1. Sg. - Gelingen);Anoche yo {{c1::pude}} encontrar la solución rápida.;Gestern Abend konnte ich die schnelle Lösung finden.;Bilde die 1. Person Singular von poder im Indefinido.;Anoche bedeutet gestern Abend oder letzte Nacht.
Verb poder Indefinido (1. Sg. - Unfähigkeit);Yo no {{c1::pude}} hacer ese gran esfuerzo solo.;Ich konnte diese große Anstrengung alleine nicht aufbringen (nicht schaffen).;Bilde die verneinte 1. Person Singular von poder im Indefinido.;Solo passt sich an das männliche, implizite Subjekt (yo) an.
Verb poder Indefinido (2. Sg. - Frage);¿Tú {{c1::pudiste}} hacer deporte ayer por la tarde?;Konntest (hast du es geschafft) gestern Nachmittag Sport zu machen?;Bilde die 2. Person Singular von poder (du konntest) im Indefinido.;Die Endung für die 2. Person Singular bei starken Verben ist -iste.
Verb poder Indefinido (2. Sg. - Gelingen);Tú {{c1::pudiste}} cambiar de coche el mes pasado.;Du konntest letzten Monat das Auto wechseln (es ist dir gelungen).;Bilde die 2. Person Singular von poder (du konntest) im Indefinido.;"Cambiar de" bedeutet eine Sache gegen eine andere auszutauschen.
Verb poder Indefinido (2. Sg. - Gelingen);Tú {{c1::pudiste}} hacer un viaje largo este año.;Du konntest dieses Jahr eine lange Reise machen.;Bilde die 2. Person Singular von poder (du konntest) im Indefinido.;Viaje ist im Spanischen maskulin (un viaje largo).
Verb poder Indefinido (2. Sg. - Erreichbarkeit);Tú {{c1::pudiste}} estar disponible el domingo.;Du konntest am Sonntag verfügbar sein (hast es eingerichtet).;Bilde die 2. Person Singular von poder (du konntest) im Indefinido.;Der konkrete Wochentag (el domingo) verlangt das Indefinido.
Verb poder Indefinido (2. Sg. - Gelingen);Al final tú {{c1::pudiste}} hacerle ese favor.;Am Ende konntest du ihm diesen Gefallen tun.;Bilde die 2. Person Singular von poder (du konntest) im Indefinido.;Das Pronomen le (ihm/ihr) ist hier direkt an den Infinitiv angehängt.
Verb poder Indefinido (3. Sg. - Gelingen);El director {{c1::pudo}} hacer la llamada el martes.;Der Leiter konnte (hat es geschafft) am Dienstag den Anruf zu tätigen.;Bilde die 3. Person Singular von poder (er/sie/es konnte) im Indefinido. Stammvokal wechselt zu u!;Der Stamm wechselt zu pud-, die Endung für die 3. Person ist -o (pudo).
Verb poder Indefinido (3. Sg. - Unfähigkeit);Ella no {{c1::pudo}} entrar en el despacho.;Sie konnte das Büro nicht betreten (kam nicht hinein).;Bilde die verneinte 3. Person Singular von poder im Indefinido.;Im Indefinido impliziert "no pudo", dass sie es versucht hat, aber gescheitert ist.
Verb poder Indefinido (3. Sg. - Gelingen);Mi hijo menor {{c1::pudo}} ir al parque el sábado.;Mein jüngerer Sohn konnte am Samstag in den Park gehen.;Bilde die 3. Person Singular von poder (er/sie/es konnte) im Indefinido.;Parque ist ein maskulines Substantiv (el parque).
Verb poder Indefinido (3. Sg. - Unpersönlich);Ayer se {{c1::pudo}} buscar el documento.;Gestern konnte man das Dokument suchen (es war möglich).;Bilde die unpersönliche Form mit se (man konnte) im Indefinido.;"Se pudo + Infinitiv" drückt aus, dass die Aktion gestern möglich war.
Verb poder Indefinido (3. Sg. - Möglichkeit);El tren {{c1::pudo}} ir hacia el norte de noche.;Der Zug konnte nachts in Richtung Norden fahren.;Bilde die 3. Person Singular von poder (er/sie/es konnte) im Indefinido.;Hacia bedeutet in Richtung oder gegen.
Verb poder Indefinido (1. Pl. - Gelingen);El sábado nosotros {{c1::pudimos}} ir a la playa.;Am Samstag konnten (haben wir es geschafft) wir an den Strand zu gehen.;Bilde die 1. Person Plural von poder (wir konnten) im Indefinido.;Die unregelmäßigen Indefinido-Formen tragen niemals einen Akzent.
Verb poder Indefinido (1. Pl. - Gelingen);Nosotros {{c1::pudimos}} hacer una fiesta grande.;Wir konnten ein großes Fest machen (es gelang uns).;Bilde die 1. Person Plural von poder (wir konnten) im Indefinido.;Fiesta (Fest/Party) ist ein weibliches Substantiv.
Verb poder Indefinido (1. Pl. - Gelingen);Nosotras {{c1::pudimos}} buscar la solución juntas.;Wir konnten die Lösung zusammen finden/suchen.;Bilde die 1. Person Plural von poder für eine rein weibliche Gruppe.;Juntas passt sich an das weibliche Pronomen nosotras an.
Verb poder Indefinido (1. Pl. - Unfähigkeit);Nosotros no {{c1::pudimos}} hacer fotos en la gala.;Wir konnten (durften/schafften es nicht) bei der Gala keine Fotos zu machen.;Bilde die verneinte 1. Person Plural von poder im Indefinido.;Gala ist ein weibliches Substantiv (la gala).
Verb poder Indefinido (1. Pl. - Übereinstimmung);La semana pasada {{c1::pudimos}} estar de acuerdo.;Letzte Woche konnten wir uns einigen (waren einverstanden).;Bilde die 1. Person Plural von poder (wir konnten) im Indefinido.;"La semana pasada" grenzt das Ereignis zeitlich klar ab.
Verb poder Indefinido (2. Pl. - Frage);¿Vosotros {{c1::pudisteis}} hacer el proyecto?;Konntet ihr das Projekt machen (habt ihr es geschafft)?;Bilde die 2. Person Plural von poder (ihr konntet) im Indefinido. Ohne Akzent!;Die Endung für vosotros im unregelmäßigen Indefinido lautet -isteis.
Verb poder Indefinido (2. Pl. - Gelingen);Vosotros {{c1::pudisteis}} ir al concierto.;Ihr konntet zum Konzert gehen (es hat geklappt).;Bilde die 2. Person Plural von poder (ihr konntet) im Indefinido.;Concierto ist ein maskulines Substantiv (el concierto).
Verb poder Indefinido (2. Pl. - Gelingen);Vosotras {{c1::pudisteis}} hablar en público bien.;Ihr konntet gut in der Öffentlichkeit sprechen.;Bilde die 2. Person Plural von poder für eine rein weibliche Gruppe im Indefinido.;Público trägt einen Akzent auf dem u.
Verb poder Indefinido (2. Pl. - Gelingen);Vosotros {{c1::pudisteis}} hacer un viaje largo.;Ihr konntet eine lange Reise machen.;Bilde die 2. Person Plural von poder (ihr konntet) im Indefinido.;Viaje ist im Spanischen maskulin (un viaje largo).
Verb poder Indefinido (2. Pl. - Gelingen);Vosotros no me {{c1::pudisteis}} hacer ese favor.;Ihr konntet mir diesen Gefallen nicht tun (habt es nicht geschafft).;Bilde die verneinte 2. Person Plural von poder im Indefinido.;Das Pronomen me bezieht sich auf "mir".
Verb poder Indefinido (3. Pl. - Gelingen);Los empleados {{c1::pudieron}} hacer la reunión.;Die Angestellten konnten die Besprechung abhalten (machen).;Bilde die 3. Person Plural von poder (sie konnten) im Indefinido.;Die Endung für die 3. Person Plural lautet -ieron (pudieron).
Verb poder Indefinido (3. Pl. - Unfähigkeit);Esos chicos no {{c1::puedieron}} entrar al estadio.;Diese Jungs konnten das Stadion nicht betreten (haben es nicht geschafft).;Bilde die verneinte 3. Person Plural von poder im Indefinido.;Estadio ist ein maskulines Substantiv (el estadio).
Verb poder Indefinido (3. Pl. - Unpersönlich Plural);Ayer se {{c1::pudieron}} buscar los documentos.;Gestern konnte man die Dokumente suchen (wörtlich: wurden die Dok. gesucht).;Bilde die unpersönliche Form im Plural (se pudieron) im Indefinido.;Da "los documentos" im Plural steht, wechselt auch das unpersönliche Verb in den Plural.
Verb poder Indefinido (3. Pl. - Gelingen);Las nuevas empresas {{c1::pudieron}} hacer cambios.;Die neuen Unternehmen konnten Veränderungen vornehmen.;Bilde die 3. Person Plural von poder für ein weibliches Plural-Subjekt im Indefinido.;Cambio bedeutet Veränderung oder Wechsel.
Verb poder Indefinido (3. Pl. - Gelingen);Ellas {{c1::pudieron}} estar en el hotel a tiempo.;Sie konnten rechtzeitig im Hotel sein.;Bilde die 3. Person Plural von poder für eine weibliche Gruppe im Indefinido.;"A tiempo" ist die feste Redewendung für "rechtzeitig".
Verb poder Imperfekt (1. Sg. - Fähigkeit);Antes yo {{c1::podía}} hablar español muy bien.;Früher konnte ich sehr gut Spanisch sprechen.;Bilde die 1. Person Singular von poder (ich konnte) im Imperfekt.;Das Signalwort antes (früher) deutet auf eine andauernde Fähigkeit im Imperfekt hin.
Verb poder Imperfekt (1. Sg. - Möglichkeit);Yo no {{c1::podía}} hacer el trabajo porque estaba enfermo.;Ich konnte die Arbeit nicht machen, weil ich krank war.;Bilde die verneinte 1. Person Singular von poder (ich konnte) im Imperfekt.;Beschreibt den andauernden Zustand der Unfähigkeit im Hintergrund.
Verb poder Imperfekt (1. Sg. - Zustand);En esa época yo {{c1::podía}} ir al parque cada tarde.;In jener Epoche konnte ich jeden Nachmittag in den Park gehen.;Bilde die 1. Person Singular von poder (ich konnte) im Imperfekt.;"En esa época" beschreibt eine regelmäßige Möglichkeit in der Vergangenheit.
Verb poder Imperfekt (1. Sg. - Erlaubnis);De niño yo no {{c1::podía}} salir a la calle de noche.;Als Kind durfte (konnte) ich nachts nicht auf die Straße gehen.;Bilde die verneinte 1. Person Singular von poder im Imperfekt für eine Erlaubnis.;"De niño" (als Kind) beschreibt einen längeren Lebensabschnitt.
Verb poder Imperfekt (1. Sg. - Möglichkeit);Yo {{c1::podía}} hacerle un favor, pero no me lo pidió.;Ich konnte (hätte können) ihm einen Gefallen tun, aber er bat mich nicht darum.;Bilde die 1. Person Singular von poder (ich konnte) im Imperfekt.;Pidió ist das Indefinido von pedir (bitten).
Verb poder Imperfekt (2. Sg. - Frage);¿Tú no {{c1::podías}} hacer deporte ayer por la tarde?;Konntest du gestern Nachmittag keinen Sport machen? (Hattest du keine Zeit?);Bilde die 2. Person Singular von poder (du konntest) im Imperfekt.;Fragt nach den andauernden Umständen oder der Möglichkeit an diesem Tag.
Verb poder Imperfekt (2. Sg. - Fähigkeit);De joven tú {{c1::podías}} ir en bicicleta muy rápido.;Als Jugendlicher konntest du sehr schnell Fahrrad fahren.;Bilde die 2. Person Singular von poder (du konntest) im Imperfekt.;"De joven" (als Jugendlicher) fordert beschreibend das Imperfekt.
Verb poder Imperfekt (2. Sg. - Möglichkeit);Tú {{c1::podías}} cambiar de coche, pero preferiste esperar.;Du konntest das Auto wechseln, aber du hast es vorgezogen zu warten.;Bilde die 2. Person Singular von poder (du konntest) im Imperfekt.;Preferiste ist das Indefinido von preferir (bevorzugen).
Verb poder Imperfekt (2. Sg. - Erlaubnis);En la vieja oficina tú no {{c1::podías}} hacer llamadas.;Im alten Büro durftest (konntest) du keine Anrufe tätigen.;Bilde die verneinte 2. Person Singular von poder im Imperfekt.;"Llamada" (Anruf) stammt vom Verb llamar.
Verb poder Imperfekt (2. Sg. - Erreichbarkeit);Tú siempre {{c1::podías}} estar disponible los lunes.;Du konntest montags immer verfügbar sein.;Bilde die 2. Person Singular von poder (du konntest) im Imperfekt.;Siempre (immer) ist ein klassischer Auslöser für das Imperfekt.
Verb poder Imperfekt (3. Sg. - Möglichkeit);El antiguo director {{c1::podía}} hacer la llamada siempre.;Der frühere Leiter konnte den Anruf immer tätigen.;Bilde die 3. Person Singular von poder (er/sie/es konnte) im Imperfekt.;Jede Form trägt einen geschriebenen Akzent auf dem i (podía).
Verb poder Imperfekt (3. Sg. - Verbot);Ella no {{c1::podía}} entrar en ese despacho privado.;Sie durfte (konnte) dieses private Büro nicht betreten.;Bilde die verneinte 3. Person Singular von poder im Imperfekt.;Despacho bedeutet Büro oder Arbeitszimmer.
Verb poder Imperfekt (3. Sg. - Fähigkeit);Mi hijo menor no {{c1::podía}} caminar bien todavía.;Mein jüngerer Sohn konnte noch nicht gut laufen.;Bilde die 3. Person Singular von poder (er/sie/es konnte) im Imperfekt.;Todavía bedeutet noch oder immer noch.
Verb poder Imperfekt (3. Sg. - Unpersönlich);Antes no se {{c1::podía}} pagar con tarjeta aquí.;Früher konnte man hier nicht mit Karte bezahlen.;Bilde die unpersönliche Form mit se (man konnte) im Imperfekt.;"Se podía + Infinitiv" beschreibt eine frühere allgemeine Regel oder Möglichkeit.
Verb poder Imperfekt (3. Sg. - Möglichkeit);El tren {{c1::podía}} ir hacia el norte sin problemas.;Der Zug konnte ohne Probleme in Richtung Norden fahren.;Bilde die 3. Person Singular von poder (er/sie/es konnte) im Imperfekt.;Hacia bedeutet in Richtung oder gegen.
Verb poder Imperfekt (1. Pl. - Möglichkeit);En verano nosotros {{c1::podíamos}} ir a la playa mucho.;Im Sommer konnten wir viel an den Strand gehen.;Bilde die 1. Person Plural von poder (wir konnten) im Imperfekt. Denke an den Akzent!;Jede Form im Imperfekt von poder hat einen Akzent auf dem i (podíamos).
Verb poder Imperfekt (1. Pl. - Vorschlag Vergangenheit);Nosotros {{c1::podíamos}} hacer una fiesta grande en el jardín.;Wir konnten (hätten können) ein großes Fest im Garten machen.;Bilde die 1. Person Plural von poder (wir konnten) im Imperfekt mit Akzent.;Jardín hat einen Akzent auf dem i (el jardín).
Verb poder Imperfekt (1. Pl. - Fähigkeit);Nosotras no {{c1::podíamos}} buscar la solución solas.;Wir konnten die Lösung alleine nicht suchen (uns fehlte die Fähigkeit).;Bilde die 1. Person Plural von poder für eine rein weibliche Gruppe.;Solas passt sich an das weibliche Pronomen nosotras an.
Verb poder Imperfekt (1. Pl. - Erlaubnis);Nosotros no {{c1::podíamos}} hacer fotos en el museo.;Wir durften (konnten) im Museum keine Fotos machen.;Bilde die verneinte 1. Person Plural von poder im Imperfekt mit Akzent.;Museo ist ein maskulines Substantiv (el museo).
Verb poder Imperfekt (1. Pl. - Übereinstimmung);En ese momento nosotros {{c1::podíamos}} estar de acuerdo.;In diesem Moment konnten wir einverstanden sein (die Basis war da).;Bilde die 1. Person Plural von poder (wir konnten) im Imperfekt mit Akzent.;"Estar de acuerdo" bedeutet zustimmen oder einverstanden sein.
Verb poder Imperfekt (2. Pl. - Frage);¿Vosotros no {{c1::podíais}} hacer el proyecto juntos?;Konntet ihr das Projekt nicht zusammen machen?;Bilde die 2. Person Plural von poder (ihr konntet) im Imperfekt. Achte auf den Akzent!;Die Endung für vosotros lautet -íais (podíais).
Verb poder Imperfekt (2. Pl. - Erlaubnis);Vosotros {{c1::podíais}} ir al concierto de música antes.;Ihr konntet (durftet) früher zum Musikkonzert gehen.;Bilde die 2. Person Plural von poder (ihr konntet) im Imperfekt mit Akzent.;Música hat einen Akzent auf dem u (la música).
Verb poder Imperfekt (2. Pl. - Fähigkeit);Vosotras {{c1::podíais}} hablar en público sin miedo.;Ihr konntet ohne Angst in der Öffentlichkeit sprechen.;Bilde die 2. Person Plural von poder für eine rein weibliche Gruppe.;"Sin miedo" bedeutet ohne Angst.
Verb poder Imperfekt (2. Pl. - Möglichkeit);Vosotros {{c1::podíais}} hacer un viaje largo en vacaciones.;Ihr konntet in den Ferien eine lange Reise machen.;Bilde die 2. Person Plural von poder (ihr konntet) im Imperfekt mit Akzent.;Vacaciones steht im Spanischen immer im Plural.
Verb poder Imperfekt (2. Pl. - Hilfe);¿Vosotros me {{c1::podíais}} hacer un favor ayer?;Konntet ihr mir gestern einen Gefallen tun? (Hattet ihr die Kapazität?);Bilde die 2. Person Plural von poder (ihr konntet) im Imperfekt mit Akzent.;Das Pronomen me bezieht sich auf "mir".
Verb poder Imperfekt (2. Pl. - Möglichkeit);Los empleados {{c1::podían}} hacer una reunión larga.;Die Angestellten konnten eine lange Besprechung machen.;Bilde die 3. Person Plural von poder (sie konnten) im Imperfekt.;Dient als andauernde Hintergrundbeschreibung in einer Erzählung.
Verb poder Imperfekt (3. Pl. - Erlaubnis);Esos chicos no {{c1::podían}} entrar al estadio solo.;Diese Jungs durften das Stadion nicht alleine betreten.;Bilde die verneinte 3. Person Plural von poder im Imperfekt.;Estadio ist ein maskulines Substantiv (el estadio).
Verb poder Imperfekt (3. Pl. - Unpersönlich Plural);Antes se {{c1::podían}} buscar los documentos fácilmente.;Früher konnte man die Dokumente leicht suchen (wörtlich: wurden gesucht).;Bilde die unpersönliche Form im Plural (se podían) im Imperfekt.;Da "los documentos" im Plural steht, wechselt auch das unpersönliche Verb in den Plural.
Verb poder Imperfekt (3. Pl. - Fähigkeit);Las nuevas empresas {{c1::podían}} hacer cambios.;Die neuen Unternehmen konnten Veränderungen vornehmen.;Bilde die 3. Person Plural von poder für ein weibliches Plural-Subjekt im Imperfekt.;Cambio bedeutet Veränderung oder Wechsel.
Verb poder Imperfekt (3. Pl. - Erreichbarkeit);Ellas {{c1::podían}} estar en el hotel a las diez siempre.;Sie konnten um zehn Uhr immer im Hotel sein.;Bilde die 3. Person Plural von poder für eine weibliche Gruppe im Imperfekt.;"Hotel" ist im Spanischen maskulin (el hotel).
Verb poder Futuro (1. Sg. - Möglichkeit);El próximo año yo {{c1::podré}} viajar más a menudo.;Nächstes Jahr werde ich öfter reisen können.;Bilde die 1. Person Singular von poder (ich werde können) im Futuro Simple. Denke an den Stamm podr-!;El próximo año ist ein klassischer Auslöser für die Zukunft.
Verb poder Futuro (1. Sg. - Gelingen);Mañana por la mañana yo {{c1::podré}} terminar la tarea.;Morgen Morgen werde ich die Hausaufgabe beenden können.;Bilde die 1. Person Singular von poder (ich werde können) im Futuro Simple. Denke an den Akzent!;Auf das Modalverb poder folgt direkt der Infinitiv.
Verb poder Futuro (1. Sg. - Fähigkeit);Pronto yo {{c1::podré}} hablar español con fluidez.;Bald werde ich fließend Spanisch sprechen können.;Bilde die 1. Person Singular von poder (ich werde können) im Futuro Simple.;Pronto bedeutet bald oder schnell.
Verb poder Futuro (1. Sg. - Hilfe);Yo te {{c1::podré}} hacer ese favor el próximo lunes.;Ich werde dir nächsten Montag diesen Gefallen tun können.;Bilde die 1. Person Singular von poder (ich werde können) im Futuro Simple.;Das Pronomen te bezieht sich auf "dir".
Verb poder Futuro (1. Sg. - Erreichbarkeit);Con este plan, yo {{c1::podré}} estar disponible siempre.;Mit diesem Plan werde ich immer verfügbar sein können.;Bilde die 1. Person Singular von poder (ich werde können) im Futuro Simple.;Disponible bleibt für beide Geschlechter gleich.
Verb poder Futuro (2. Sg. - Frage);¿Tú {{c1::podrás}} hacer deporte conmigo mañana?;Wirst du morgen mit mir Sport machen können?;Bilde die 2. Person Singular von poder (du wirst können) im Futuro Simple. Denke an den Akzent!;Die Form podrás hat einen obligatorischen Akzent auf dem a.
Verb poder Futuro (2. Sg. - Erlaubnis);Tú {{c1::podrás}} ir a la fiesta si terminas el trabajo.;Du wirst zum Fest gehen können (dürfen), wenn du die Arbeit beendest.;Bilde die 2. Person Singular von poder (du wirst können) im Futuro Simple.;Fiesta ist ein weibliches Substantiv (la fiesta).
Verb poder Futuro (2. Sg. - Möglichkeit);Tú {{c1::podrás}} cambiar de coche el próximo año.;Du wirst nächstes Jahr das Auto wechseln können.;Bilde die 2. Person Singular von poder (du wirst können) im Futuro Simple.;"Cambiar de" bedeutet eine Sachte gegen eine andere auszutauschen.
